,name,average_review,review_count,price_range,street_address,restaurant_type
298,Tribeca Grill,4.44361,4361,$31 to $50,"375 Greenwich St New York, NY  10013",American
299,Fifty,4.6325,325,$31 to $50,"50 Commerce St New York, NY  10014",Contemporary American
300,Dos Caminos - SoHo,4.2944,944,$31 to $50,"475 West Broadway at Houston Street New York, NY  10012",Mexican
301,Noreetuh,4.7434,434,$31 to $50,"128 1st Avenue New York, NY  10009",American
302,El Toro Blanco,4.2518,518,$31 to $50,"257 Sixth Avenue New York, NY  10014",Mexican
303,SAN CARLO  Osteria Piemonte,4.7314,314,$31 to $50,"90 Thompson St New York, NY  10012",Italian
304,The Library at the Public,4.2801,801,$30 and under,"425 Lafayette Street New York, NY  10003",American
305,CUT By Wolfgang Puck at FS Downtown New York,4.6364,364,$31 to $50,"99 Church St New York, NY  10007",Steak
306,Osteria della Pace - Eataly NYC Downtown,4.4294,294,$31 to $50,"101 Liberty St Floor 3 New York, NY  10006",Italian
307,Tuome,4.7385,385,$31 to $50,"536 E. 5th St. New York, NY  10009",Contemporary American
308,Barano,4.7234,234,$30 and under,"26 Broadway Brooklyn, NY  11249",Italian
309,Buttermilk Channel,4.7524,524,$31 to $50,"524 Court Street Brooklyn, NY  11231",American
310,La Loteria,4.6245,245,$31 to $50,"29 7th Ave South New York, NY  10014",Contemporary Mexican
311,Il Mulino Prime,4.5272,272,$50 and over,"331 West Broadway New York, NY  10013",Italian
312,Socarrat Paella Bar - Nolita,4.5634,634,$31 to $50,"284 Mulberry St. New York, NY  10012",Spanish
313,La Sirene,4.61442,1442,$31 to $50,"558  Broome Street (closer to Varick) New York, NY  10013",French
314,Fonda - East Village,4.5529,529,$31 to $50,"40 Avenue B New York, NY  10009",Contemporary Mexican
315,Kingsley,4.5327,327,$31 to $50,"190 Avenue B New York, NY  10009",Contemporary American
316,Porsena,4.6338,338,$30 and under,"21 East 7th Street New York, NY  10003",Italian
317,The Palm Tribeca,4.6156,1560,$50 and over,"206 West Street New York, NY  10282",Steakhouse
318,Nickel & Diner,4.6142,142,$31 to $50,"1 Howard St New York, NY  10013",American
319,David Burke Kitchen,4.22612,2612,$31 to $50,"23 Grand Street New York, NY  10013",American
320,Il Cortile Restaurant,4.6798,798,$31 to $50,"125 Mulberry Street New York, NY  10013",Italian
321,Felice 15 Gold Street,4.6454,454,$31 to $50,"15 Gold Street New York, NY  10038",Italian
322,Cipriani - Wall Street,4.6537,537,$31 to $50,"55 Wall Street New York, NY  10015",Italian
323,Rosa Mexicano - TriBeCa,4.2247,247,$31 to $50,"41 Murray Street New York, NY  10007",Mexican
324,North Square,4.61681,1681,$31 to $50,"103 Waverly Place New York, NY  10011",American
325,Edi and The Wolf,4.5306,306,$30 and under,"102 Avenue C New York, NY  10009",Austrian
326,Gran Morsi,4.6266,266,$31 to $50,"22 Warren Street New York, NY  10007",Italian
327,Bistrot Leo,4.316,16,$31 to $50,"60 Thompson Street New York, NY  10012",French
328,Reserve Cut at Setai,4.7492,492,$50 and over,"40 Broad Street, 2nd Level New York, NY  10004",Kosher
329,Rice & Gold,4.2128,128,$31 to $50,"50 Bowery New York, NY  10013",Asian
330,Thalassa,4.61224,1224,$31 to $50,"179 Franklin Street New York, NY  10013",Seafood
331,Strip House Speakeasy,4.6222,222,$50 and over,"11 East 12th Street New York, NY  10003",Steakhouse
332,Greenwich Steakhouse,4.4148,148,$50 and over,"62 Greenwich Ave New York, NY  10011",Steakhouse
333,Schilling,4.4234,234,$30 and under,"109 Washington Street New york, NY  10028",Austrian
334,Morton's The Steakhouse - World Trade Center,4.6541,541,$50 and over,"136 Washington New York, NY  10006",Steakhouse
335,MarkJoseph Steakhouse,4.7814,814,$50 and over,"261 Water Street New York, NY  10038",Steakhouse
336,The Tuck Room- New York,4.116,160,$30 and under,"11 Fulton Street New York, NY  10038",Gastro Pub
337,Talde,4.4216,216,$30 and under,"369 7th Avenue Brooklyn, NY  11215",Asian
338,Bar Freud,4.4196,196,$31 to $50,"506 LaGuardia Place New York, NY  10012",Austrian
339,Yellow Magnolia Café,4.391,91,$30 and under,"Brooklyn Botanic Garden 990 Washington Ave Brooklyn, NY  11225",American
340,Benchmark Restaurant,4.5836,836,$31 to $50,"339A Second St. Brooklyn, NY  11215",Contemporary American
341,Altesi Downtown,4.5558,558,$31 to $50,"200 Spring Street New York, NY  10012",Italian
342,Harvey @ The Williamsburg Hotel,4.335,35,$30 and under,"96 Wythe Ave Brooklyn, NY  11249",Contemporary American
343,ATRIO Wine Bar & Restaurant,4.6215,215,$31 to $50,"102 North End Avenue New York, NY  10282",Contemporary American
344,Bobby Van's Steakhouse - Broad Street,4.4768,768,$31 to $50,"25 Broad Street New York, NY  10004",Steakhouse
345,Brasserie Seoul,3.82,20,$30 and under,"300 Schermerhorn St. Brooklyn, NY  11217",Contemporary French
346,Greenhouse Cafe,4.686,86,$30 and under,"7717 3rd Avenue Brooklyn, NY  11209-3001",Continental
347,"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",4.511,110,$31 to $50,"1100 South Ave. Staten Island, NY  10314",Italian
